,channels,mean_before,mean_after,change%
3,Effort THO,0.49554642273161337,0.4225670513508393,0.14727050389848043
4,Effort ABD,0.5216799789476686,0.4461578637595864,0.14476713356035864
15,ECG I,0.47342528446006843,0.4063592876185553,0.14166120619856734
2,Snore,0.9252758326837913,0.7947779588526348,0.14103672572171627
1,Pleth,0.9235385421055732,0.793438421349685,0.14087134951539027
0,EEG A1-A2,0.9291718730590964,0.7982998783070802,0.1408479943771314
8,Leg 2,0.9269604356078469,0.7964461240717204,0.14079814684921557
5,Leg 1,0.924111667511673,0.7941691166734377,0.14061347281560416
10,ECG II,0.4840056917786408,0.4162770381887624,0.13993358908856382
9,ECG IIHF,0.48160071670391486,0.4146252915399217,0.13906836688777025
7,EMG Chin,0.5531000021742333,0.48665929755179227,0.12012421688892232
6,EEG F3-A2,0.5030281568738564,0.4481332198938907,0.10912895477087894
13,Leak Total,0.922347548528485,0.922347548528485,0.0
11,xPAP IPAP,,,
12,xPAP CPAP,,,
14,xPAP EPAP,,,
