,channels,mean_before,mean_after,change%
10,ECG II,0.5386163384276031,0.5085446213362476,0.05583142386498104
9,ECG IIHF,0.5438077988097026,0.5135484506567213,0.05564346119936793
15,ECG I,0.5227015064409534,0.4949675508901378,0.05305887817246714
4,Effort ABD,0.6287923712178717,0.5958705961156845,0.052357147779040165
3,Effort THO,0.6572481189663574,0.6233455776618079,0.05158256117623804
0,EEG A1-A2,0.9234297583030161,0.8767543142818731,0.05054574384403455
2,Snore,0.9251381127881556,0.8785130532450235,0.05039794480265742
8,Leg 2,0.9167128603258242,0.8705371507379042,0.05037096302053402
5,Leg 1,0.9218955340136591,0.8755157966584323,0.05030910297753937
1,Pleth,0.8288634781203642,0.787179822586626,0.050290134182610316
7,EMG Chin,0.6068291515650767,0.5779010012011286,0.04767099650591811
6,EEG F3-A2,0.4881316545012786,0.4658765339513788,0.04559245511876861
13,Leak Total,0.9223475485242606,0.9223475485242606,0.0
11,xPAP IPAP,,,
12,xPAP CPAP,,,
14,xPAP EPAP,,,
